[0815/161132.654:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0815/183359.194:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0817/152630.718:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/153945.967:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155023.203:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155028.227:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155033.260:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155038.276:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155043.339:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155048.362:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155053.379:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155058.388:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155103.403:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155108.428:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155113.446:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155118.460:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155123.481:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155128.552:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155133.586:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155138.591:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155143.609:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155148.636:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155153.646:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155158.682:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155203.733:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155208.751:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155213.759:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155218.777:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155223.798:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155228.835:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155233.866:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155238.888:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155243.903:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155248.952:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155253.996:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155259.029:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155304.055:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155309.096:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155314.120:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155319.134:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155324.150:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155329.168:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155334.177:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155339.207:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155344.229:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155349.251:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155354.265:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155359.303:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155404.311:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155409.323:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155414.341:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155419.361:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155552.349:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155557.369:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155602.390:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155607.417:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155612.447:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155617.471:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155622.493:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155627.513:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155630.574:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155632.568:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155635.598:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155637.590:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155640.623:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155642.603:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155645.653:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155647.615:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155650.674:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155652.641:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155655.698:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155657.656:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155700.718:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155702.690:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155705.747:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155707.709:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155710.769:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155712.736:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155715.801:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155717.756:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155720.823:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155722.778:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155725.842:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155727.796:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155730.854:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155732.830:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155735.868:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0817/155737.838:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
